id,course_title,course_organization,course_certificate_type,course_rating,course_difficulty,course_students_enrolled,course_tag
550,Mastering Data Analysis in Excel,Duke University,COURSE,4.2,Mixed,280k,Academic;Data Science;Advanced Content
575,Mastering Final Cut Pro,LearnQuest,COURSE,4.6,Beginner,8.4k,Advanced Content
563,Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,Beginner,52k,Johns Hopkins University;Academic;Advanced Content
840,Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",COURSE,4.7,Mixed,48k,Academic;Science
480,Mathematics for Data Science,National Research University Higher School of Economics,SPECIALIZATION,4.5,Beginner,12k,Academic;Data Science;Science;Mathematics
55,Mathematics for Machine Learning,Imperial College London,SPECIALIZATION,4.6,Beginner,150k,Academic;Machine Learning;Mathematics
223,Mathematics for Machine Learning: Linear Algebra,Imperial College London,COURSE,4.7,Beginner,140k,Academic;Machine Learning;Mathematics
528,Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,COURSE,4.7,Beginner,51k,Academic;Machine Learning;Mathematics
873,Mathematics for Machine Learning: PCA,Imperial College London,COURSE,4,Intermediate,33k,Academic;Machine Learning;Mathematics
335,Medical Cannabis: The Health Effects of THC and CBD,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,4.8k,Academic;Medical;Health
214,Medical Neuroscience,Duke University,COURSE,4.9,Advanced,170k,Academic;Science;Medical
258,Memoir and Personal Essay: Write About Yourself,Wesleyan University,SPECIALIZATION,4.3,Beginner,13k,Academic
87,Methods and Statistics in Social Sciences,University of Amsterdam,SPECIALIZATION,4.6,Beginner,260k,Academic;Science;Statistics
489,Microeconomics Principles,University of Illinois at Urbana-Champaign,COURSE,4.9,Beginner,73k,Academic;Economics
464,Microeconomics: The Power of Markets,University of Pennsylvania,COURSE,4.7,Mixed,34k,Academic;Economics
470,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,COURSE,4.8,Beginner,230k,Academic
517,Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,COURSE,4.7,Beginner,120k,Language;Introductory
505,Model Thinking,University of Michigan,COURSE,4.8,Mixed,130k,Academic
706,Modeling Risk and Realities,University of Pennsylvania,COURSE,4.6,Mixed,36k,Academic
101,Modern Art & Ideas,The Museum of Modern Art,COURSE,4.7,Beginner,310k,Art
296,Modern Big Data Analysis with SQL,Cloudera,SPECIALIZATION,4.8,Beginner,14k,SQL;Data Science
333,"Modern Robotics:  Mechanics, Planning, and Control",Northwestern University,SPECIALIZATION,4.7,Intermediate,21k,Academic
523,Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,COURSE,4.7,Intermediate,9.1k,Google;Industry Leader;Data Science
176,Moral Foundations of Politics,Yale University,COURSE,4.8,Mixed,100k,Yale University;Academic;Top University
481,More Introduction to Financial Accounting,University of Pennsylvania,COURSE,4.9,Mixed,40k,Academic;Accounting;Introductory
652,Mountains 101,University of Alberta,COURSE,4.9,Mixed,44k,Academic;Artificial Intelligence
597,Municipal Solid Waste Management in Developing Countries,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,59k,Management
188,Music Business,Berklee College of Music,SPECIALIZATION,4.8,Beginner,42k,Academic;Business;Music
784,Music Business Foundations,Berklee College of Music,COURSE,4.9,Mixed,34k,Academic;Business;Music
94,Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,70k,Academic;Music
685,Nanotechnology: A Maker’s Course,Duke University,COURSE,4.8,Mixed,21k,Academic
431,Natural Language Processing in TensorFlow,deeplearning.ai,COURSE,4.6,Intermediate,40k,deeplearning.ai;Language
341,Negociación exitosa: Estrategias y habilidades esenciales (en español),University of Michigan,COURSE,4.8,Mixed,95k,Academic
226,"Negotiation, Mediation and Conflict Resolution",ESSEC Business School,SPECIALIZATION,4.7,Beginner,22k,Online Learning
842,Networking and Security Architecture with VMware NSX,VMware,COURSE,4.8,Intermediate,17k,Security;Networking
20,Networking in Google Cloud,Google Cloud,SPECIALIZATION,4.7,Intermediate,290k,Google;Industry Leader;Cloud Computing;Google Cloud;Networking
62,Neural Networks and Deep Learning,deeplearning.ai,COURSE,4.9,Intermediate,630k,deeplearning.ai;Deep Learning;Networking
471,Neurolinguistics,Saint Petersburg State University,COURSE,4.7,Mixed,41k,Academic
795,New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",COURSE,4.7,Beginner,12k,Academic
343,Newborn Baby Care,University of Colorado System,SPECIALIZATION,4.8,Beginner,5.3k,Academic
252,Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,100k,Online Learning
535,Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),COURSE,4.8,Intermediate,35k,Online Learning
255,Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.7,Intermediate,250k,Academic;Programming;Java;Data Science
86,Object Oriented Programming in Java,Duke University,SPECIALIZATION,4.6,Beginner,330k,Academic;Programming;Java
510,Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,COURSE,4.7,Intermediate,21k,Academic;Data Science
887,Object-Oriented Design,University of Alberta,COURSE,4.7,Intermediate,33k,Academic;Design
323,Oil & Gas Industry Operations and Markets,Duke University,COURSE,4.8,Mixed,57k,Academic
416,"Open Source Software Development, Linux and Git",The Linux Foundation,SPECIALIZATION,4.4,Beginner,13k,Online Learning
316,Operating Systems and You: Becoming a Power User,Google,COURSE,4.6,Beginner,76k,Google;Industry Leader
398,Operations Analytics,University of Pennsylvania,COURSE,4.7,Mixed,80k,Academic;Data Analytics
472,Optical Engineering,University of Colorado Boulder,SPECIALIZATION,4.2,Advanced,6.2k,Academic;Engineering
116,Organizational Leadership,Northwestern University,SPECIALIZATION,4.7,Intermediate,92k,Academic;Leadership
867,Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,COURSE,4.7,Beginner,22k,Online Learning
765,Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,SPECIALIZATION,4.8,Beginner,3.2k,Academic
526,Palo Alto Networks Cybersecurity,Palo Alto Networks,SPECIALIZATION,4.6,Beginner,9.1k,Security;Cybersecurity;Networking
445,"Parallel, Concurrent, and Distributed Programming in Java",Rice University,SPECIALIZATION,4.5,Intermediate,30k,Academic;Programming;Java
872,Particle Physics: an Introduction,University of Geneva,COURSE,4.5,Mixed,42k,Academic;Physics;Art;Introductory
309,Patient Safety,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,8.8k,Johns Hopkins University;Academic
810,Patrocinio Deportivo,Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,12k,Online Learning
362,People Analytics,University of Pennsylvania,COURSE,4.5,Mixed,84k,Academic;Data Analytics
665,Perfect Tenses and Modals,"University of California, Irvine",COURSE,4.7,Intermediate,79k,Academic
668,Periodismo digital y combate a las fake news,Universidad Nacional Autónoma de México,COURSE,4.9,Beginner,8.9k,Online Learning
105,Photography Basics and Beyond: From Smartphone to DSLR,Michigan State University,SPECIALIZATION,4.7,Beginner,160k,Academic;Art;Introductory
503,Plant Bioinformatic Methods,University of Toronto,SPECIALIZATION,4.7,Beginner,83k,Academic
477,Politics and Economics of International Energy,Sciences Po,COURSE,4.7,Beginner,34k,Economics
216,Positive Psychiatry and Mental Health,The University of Sydney,COURSE,4.8,Mixed,72k,Academic;Health
291,Positive Psychology,The University of North Carolina at Chapel Hill,COURSE,4.7,Mixed,180k,Academic;Psychology
606,Positive Psychology: Applications and Interventions,University of Pennsylvania,COURSE,4.8,Beginner,23k,Academic;Psychology
240,Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,COURSE,4.8,Beginner,50k,Academic;Science;Psychology;Art
646,Positive Psychology: Resilience Skills,University of Pennsylvania,COURSE,4.6,Beginner,40k,Academic;Psychology
348,Power Electronics,University of Colorado Boulder,SPECIALIZATION,4.8,Intermediate,67k,Academic
320,Practical Data Science with MATLAB,MathWorks,SPECIALIZATION,4.7,Beginner,10k,Data Science;Science
692,Practical Time Series Analysis,The State University of New York,COURSE,4.6,Intermediate,39k,Academic
808,Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,COURSE,4.7,Beginner,22k,Google;Industry Leader;Cloud Computing;Google Cloud
389,Preparing to Manage Human Resources,University of Minnesota,COURSE,4.8,Mixed,68k,Academic
299,"Presentation Skills: Speechwriting, Slides and Delivery",E-Learning Development Fund,SPECIALIZATION,4.6,Beginner,47k,Writing
215,Pricing Strategy Optimization,BCG,SPECIALIZATION,4.8,Beginner,20k,Strategy
57,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,COURSE,4.8,Mixed,280k,iOS
114,Private Equity and Venture Capital,Università Bocconi,COURSE,4.8,Mixed,79k,Online Learning
683,Probabilistic Graphical Models 1: Representation,Stanford University,COURSE,4.7,Advanced,68k,Stanford University;Academic;Top University
715,Probability and Statistics: To p or not to p?,University of London,COURSE,4.6,Beginner,36k,Academic;Statistics
626,Process Mining: Data science in Action,Eindhoven University of Technology,COURSE,4.8,Intermediate,39k,Academic;Data Science;Science
364,"Programming Foundations with JavaScript, HTML and CSS",Duke University,COURSE,4.6,Beginner,250k,Academic;Programming;Java;JavaScript;Web Development
732,Programming Fundamentals,Duke University,COURSE,4.7,Beginner,19k,Academic;Programming
47,Programming for Everybody (Getting Started with Python),University of Michigan,COURSE,4.8,Mixed,1.3m,Academic;Programming;Python;Art;Introductory
208,Programming with Google Go,"University of California, Irvine",SPECIALIZATION,4.6,Intermediate,18k,Academic;Programming
731,Project Execution,"University of California, Irvine",COURSE,4.2,Beginner,70k,Academic
284,Project Launch,"University of California, Irvine",COURSE,4.7,Beginner,190k,Academic
31,Project Management & Other Tools for Career Development,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,440k,Academic;Management;Project Management
30,Project Management Principles and Practices,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,230k,Academic;Management;Project Management
37,Psychological First Aid,Johns Hopkins University,COURSE,4.8,Mixed,190k,Johns Hopkins University;Academic;Artificial Intelligence
424,Public Policy Challenges of the 21st Century,University of Virginia,COURSE,4.6,Beginner,52k,Academic
279,Python Basics,University of Michigan,COURSE,4.8,Beginner,110k,Academic;Python;Introductory
869,Python Classes and Inheritance,University of Michigan,COURSE,4.7,Intermediate,21k,Academic;Python
111,Python Data Structures,University of Michigan,COURSE,4.9,Mixed,420k,Academic;Python;Data Science
555,"Python Functions, Files, and Dictionaries",University of Michigan,COURSE,4.8,Beginner,26k,Academic;Python
374,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,COURSE,4.4,Intermediate,41k,Academic;Python;Statistics
152,Python for Data Science and AI,IBM,COURSE,4.6,Beginner,170k,IBM;Industry Leader;Python;Data Science;Artificial Intelligence;Science
3,Python for Everybody,University of Michigan,SPECIALIZATION,4.8,Beginner,1.5m,Academic;Python
823,Quantitative Methods,University of Amsterdam,COURSE,4.7,Mixed,69k,Academic
827,Queering Identities: LGBTQ+ Sexuality and Gender Identity,University of Colorado System,COURSE,4.9,Beginner,3k,Academic
317,R Programming,Johns Hopkins University,COURSE,4.6,Intermediate,480k,Johns Hopkins University;Academic;Programming
771,"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,COURSE,4.8,Beginner,7.7k,Introductory
553,Recommender Systems,University of Minnesota,SPECIALIZATION,4.3,Intermediate,29k,Academic
658,"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,COURSE,4.7,Mixed,35k,Academic
82,Reinforcement Learning,University of Alberta,SPECIALIZATION,4.7,Intermediate,23k,Academic
532,Renewable Energy and Green Building Entrepreneurship,Duke University,COURSE,4.7,Beginner,24k,Academic;Entrepreneurship
634,Reporting extra-financier et stratégie RSE,ESSEC Business School,COURSE,4.7,Beginner,5.2k,Online Learning
868,Requirements Engineering: Secure Software  Specifications,University of Colorado System,SPECIALIZATION,4.6,Beginner,7.2k,Academic;Engineering
876,Research Data Management and Sharing,The University of Edinburgh,COURSE,4.6,Mixed,16k,Academic;Data Science;Management
622,"Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",University of Minnesota,COURSE,4.8,Mixed,15k,Academic
289,Responsive Website Development and Design,"Goldsmiths, University of London",SPECIALIZATION,4.5,Beginner,170k,Academic;Web Development;Design
414,Rethinking International Tax Law,Universiteit Leiden,COURSE,4.9,Mixed,36k,Online Learning
386,Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,COURSE,4.9,Intermediate,17k,Online Learning
315,Robotics,University of Pennsylvania,SPECIALIZATION,4.4,Beginner,120k,Academic
632,Roman Architecture,Yale University,COURSE,4.9,Beginner,30k,Yale University;Academic;Top University
833,Russian Alphabet,Saint Petersburg State University,COURSE,4.7,Beginner,3.2k,Academic
180,Russian for beginners А1. Русский язык: A1,Saint Petersburg State University,SPECIALIZATION,4.7,Beginner,7k,Academic
331,Réussir le Changement,ESSEC Business School,COURSE,4.5,Mixed,33k,Online Learning
160,SAS Programmer,SAS,PROFESSIONAL CERTIFICATE,4.8,Beginner,370k,Online Learning
393,SAS Visual Business Analytics,SAS,PROFESSIONAL CERTIFICATE,4.6,Beginner,2.6k,Data Analytics;Business
332,SQL for Data Science,"University of California, Davis",COURSE,4.6,Beginner,160k,Academic;SQL;Data Science;Science
601,Sales Operations/Management,West Virginia University,SPECIALIZATION,4.4,Beginner,5.6k,Academic;Management
781,Sales Training for High Performing Teams,HubSpot Academy,SPECIALIZATION,4.7,Beginner,16k,Artificial Intelligence
763,Sample-based Learning Methods,University of Alberta,COURSE,4.8,Intermediate,6.8k,Academic
860,Scaling Operations: Linking Strategy and Execution,Northwestern University,COURSE,4.5,Mixed,12k,Academic;Strategy
368,School Health for Children and Adolescents,University of Colorado System,SPECIALIZATION,4.8,Beginner,9.1k,Academic;Health
121,Science of Exercise,University of Colorado Boulder,COURSE,4.8,Beginner,140k,Academic;Science
629,Search Engine Optimization Fundamentals,"University of California, Davis",COURSE,4.7,Mixed,47k,Academic
836,Secure Coding Practices,"University of California, Davis",SPECIALIZATION,4.4,Intermediate,6.4k,Academic
712,Security & Safety Challenges in a Globalized World,Universiteit Leiden,COURSE,4.7,Beginner,14k,Security
19,Security in Google Cloud Platform,Google Cloud,SPECIALIZATION,4.7,Intermediate,300k,Google;Industry Leader;Security;Cloud Computing;Google Cloud
154,Self-Driving Cars,University of Toronto,SPECIALIZATION,4.7,Advanced,39k,Academic
285,Sequence Models,deeplearning.ai,COURSE,4.8,Intermediate,14k,deeplearning.ai
772,Sexualidad...mucho más que sexo,Universidad de los Andes,COURSE,4.8,Beginner,110k,Online Learning
695,Sharpened Visions: A Poetry Workshop,California Institute of the Arts,COURSE,4.7,Beginner,61k,Online Learning
304,Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,COURSE,4.5,Advanced,16k,Google;Industry Leader;Engineering
167,Six Sigma Green Belt,University System of Georgia,SPECIALIZATION,4.7,Intermediate,18k,Academic
792,Six Sigma and the Organization (Advanced),University System of Georgia,COURSE,4.7,Intermediate,15k,Academic;Advanced Content
814,"Sleep: Neurobiology, Medicine, and Society",University of Michigan,COURSE,4.8,Beginner,20k,Academic;Biology;Medicine
660,Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,COURSE,4.6,Beginner,22k,Management;Art
817,Social Entrepreneurship,Copenhagen Business School,SPECIALIZATION,4.6,Beginner,13k,Entrepreneurship
49,Social Media Marketing,Northwestern University,SPECIALIZATION,4.6,Beginner,130k,Academic;Marketing
440,"Social Norms, Social Change I",University of Pennsylvania,COURSE,4.6,Beginner,78k,Academic
574,Social Policy for Social Services & Health Practitioners,Columbia University,SPECIALIZATION,4.8,Beginner,4.2k,Academic;Health
83,Social Psychology,Wesleyan University,COURSE,4.7,Beginner,220k,Academic;Psychology
506,Social and Economic Networks:  Models and Analysis,Stanford University,COURSE,4.8,Advanced,42k,Stanford University;Academic;Top University;Networking
186,Software Design and Architecture,University of Alberta,SPECIALIZATION,4.6,Beginner,60k,Academic;Design
402,Software Development Lifecycle,University of Minnesota,SPECIALIZATION,4.6,Intermediate,34k,Academic
859,Software Processes and Agile Practices,University of Alberta,COURSE,4.7,Mixed,60k,Academic;Agile
64,Software Product Management,University of Alberta,SPECIALIZATION,4.6,Beginner,110k,Academic;Management
515,Solar Energy Basics,The State University of New York,COURSE,4.8,Beginner,17k,Academic;Introductory
600,Songwriting: Writing the Lyrics,Berklee College of Music,COURSE,4.8,Beginner,68k,Academic;Writing
363,Soporte de Tecnologías de la Información de Google,Crece con Google,PROFESSIONAL CERTIFICATE,4.9,Beginner,8.8k,Google;Industry Leader
754,Spacecraft Dynamics and Control,University of Colorado Boulder,SPECIALIZATION,4.8,Advanced,12k,Academic
504,Spanish Vocabulary: Meeting People,"University of California, Davis",COURSE,4.6,Beginner,71k,Academic;Spanish
334,"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,COURSE,4.6,Mixed,430k,English;Advanced Content
200,Sports Marketing,Northwestern University,COURSE,4.7,Intermediate,12k,Academic;Marketing
580,Sports and Society,Duke University,COURSE,4.8,Mixed,16k,Academic
68,Stanford Introduction to Food and Health,Stanford University,COURSE,4.7,Beginner,370k,Stanford University;Academic;Top University;Health;Introductory
680,Stanford's Short Course on Breastfeeding,Stanford University,COURSE,4.7,Beginner,17k,Stanford University;Academic;Top University
170,Statistical Analysis with R for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,16k,Academic;Health
127,Statistics with Python,University of Michigan,SPECIALIZATION,4.6,Beginner,34k,Academic;Python;Statistics
84,Statistics with R,Duke University,SPECIALIZATION,4.7,Beginner,220k,Academic;Statistics
657,Stories of Infection,Stanford University,COURSE,4.9,Intermediate,28k,Stanford University;Academic;Top University
648,Strategic Business Analytics,ESSEC Business School,SPECIALIZATION,4.3,Advanced,60k,Data Analytics;Business
822,Strategic Business Management - Microeconomics,"University of California, Irvine",COURSE,4.7,Beginner,9.5k,Academic;Business;Management;Economics
93,Strategic Leadership and Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Beginner,100k,Academic;Management;Leadership
801,Strategic Management,Copenhagen Business School,COURSE,4.7,Mixed,58k,Management
202,Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.7,Beginner,68k,Management
592,Strategic Sales Management,Fundação Instituto de Administração,SPECIALIZATION,4.5,Intermediate,9.2k,Management
798,Strategising: Management for Global Competitive Advantage,Macquarie University,SPECIALIZATION,4.8,Intermediate,30k,Academic;Management
749,Strategy and Sustainability,IESE Business School,COURSE,4.6,Beginner,11k,Artificial Intelligence;Strategy
189,Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,Beginner,220k,deeplearning.ai;Machine Learning
455,Success,University of Pennsylvania,COURSE,4.8,Beginner,38k,Academic
40,Successful Negotiation: Essential Strategies and Skills,University of Michigan,COURSE,4.8,Mixed,750k,Academic
588,Summary Statistics in Public Health,Johns Hopkins University,COURSE,4.8,Beginner,11k,Johns Hopkins University;Academic;Health;Statistics
483,Supply Chain Analytics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,7.9k,Academic;Artificial Intelligence;Data Analytics
432,Supply Chain Finance and Blockchain Technology,New York Institute of Finance,SPECIALIZATION,4.6,Intermediate,4.9k,Artificial Intelligence;Finance;Blockchain
384,Supply Chain Logistics,Rutgers the State University of New Jersey,COURSE,4.7,Beginner,66k,Academic;Artificial Intelligence
50,Supply Chain Management,Rutgers the State University of New Jersey,SPECIALIZATION,4.7,Beginner,82k,Academic;Artificial Intelligence;Management
760,Supply Chain Operations,Rutgers the State University of New Jersey,COURSE,4.8,Beginner,24k,Academic;Artificial Intelligence
306,Supply Chain Principles,Georgia Institute of Technology,COURSE,4.6,Mixed,29k,Artificial Intelligence
328,Supporting children with difficulties in reading and writing,UCL Institute of Education,COURSE,4.8,Mixed,50k,Writing
344,Survey Data Collection and Analytics,"University of Maryland, College Park",SPECIALIZATION,4.3,Beginner,45k,Academic;Data Science;Data Analytics
583,Sustainable Tourism – promoting environmental public health,University of Copenhagen,COURSE,4.6,Beginner,9.4k,Academic;Artificial Intelligence;Health
387,Swift 5 iOS Application Developer,LearnQuest,SPECIALIZATION,4.5,Beginner,3.9k,iOS
403,System Administration and IT Infrastructure Services,Google,COURSE,4.7,Beginner,62k,Google;Industry Leader
484,Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,SPECIALIZATION,4.4,Intermediate,48k,Biology;IoT
647,Systems Thinking In Public Health,Johns Hopkins University,COURSE,4.9,Mixed,33k,Johns Hopkins University;Academic;Health
67,"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,100k,Academic;English;Art;Certification Program
234,"TESOL Certificate, Part 2: Teach English Now!",Arizona State University,SPECIALIZATION,4.9,Beginner,62k,Academic;English;Art;Certification Program
559,Teach English Now! Foundational Principles,Arizona State University,COURSE,4.9,Mixed,81k,Academic;English
807,Teach English Now! Teaching Language Online,Arizona State University,COURSE,4.4,Intermediate,8.5k,Academic;Language;English
788,Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,COURSE,4.8,Mixed,53k,Online Learning
466,Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,COURSE,4.8,Beginner,49k,Academic
41,Technical Support Fundamentals,Google,COURSE,4.8,Beginner,280k,Google;Industry Leader
27,TensorFlow in Practice,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,170k,deeplearning.ai
217,TensorFlow: Data and Deployment,deeplearning.ai,SPECIALIZATION,4.5,Intermediate,12k,deeplearning.ai;Data Science
298,Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,COURSE,4.8,Beginner,90k,Online Learning
460,The Addicted Brain,Emory University,COURSE,4.6,Beginner,130k,Academic;Artificial Intelligence
507,The Art of Music Production,Berklee College of Music,COURSE,4.8,Intermediate,47k,Academic;Art;Music
133,The Art of Sales: Mastering the Selling Process,Northwestern University,SPECIALIZATION,4.7,Beginner,23k,Academic;Art;Advanced Content
375,The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,COURSE,4.5,Beginner,73k,Academic;Science;Art
135,The Bits and Bytes of Computer Networking,Google,COURSE,4.7,Beginner,130k,Google;Industry Leader;Networking
65,The Business of Health Care,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,22k,Academic;Business;Health
97,The Business of Music Production,Berklee College of Music,SPECIALIZATION,4.8,Beginner,84k,Academic;Business;Music
768,The Changing Global Order,Universiteit Leiden,COURSE,4.7,Intermediate,23k,Online Learning
759,The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",COURSE,4.8,Beginner,11k,Academic;Management;Art
81,The DIY Musician,Berklee College of Music,SPECIALIZATION,4.8,Beginner,120k,Academic;Music
243,The Data Scientist’s Toolbox,Johns Hopkins University,COURSE,4.6,Mixed,420k,Johns Hopkins University;Academic;Data Science
864,The Economics of Health Care Delivery,University of Pennsylvania,COURSE,4.8,Mixed,7.2k,Academic;Economics;Health
274,The Global Financial Crisis,Yale University,COURSE,4.8,Mixed,84k,Yale University;Academic;Top University
587,The Horse Course: Introduction to Basic Care and Management,University of Florida,COURSE,4.9,Mixed,29k,Academic;Management;Introductory
282,The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",COURSE,4.6,Mixed,47k,Academic
357,"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,COURSE,4.8,Beginner,130k,Academic;History;Art
671,"The Modern World, Part Two: Global History since 1910",University of Virginia,COURSE,4.8,Beginner,47k,Academic;History;Art
576,The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,COURSE,4.9,Intermediate,9.4k,Academic;Health
272,The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.6,Mixed,180k,Academic;Economics
534,The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.7,Mixed,120k,Academic;Economics
826,The Pronunciation of American English,"University of California, Irvine",SPECIALIZATION,4.6,Beginner,1.7k,Academic;English
818,The Science of Gastronomy,The Hong Kong University of Science and Technology,COURSE,4.6,Mixed,50k,Academic;Science
690,The Science of Stem Cells,American Museum of Natural History,COURSE,4.7,Intermediate,12k,Science
696,The Science of Success: What Researchers Know that You Should Know,University of Michigan,COURSE,4.8,Beginner,59k,Academic;Science
524,The Science of Training Young Athletes,University of Florida,COURSE,4.9,Beginner,13k,Academic;Artificial Intelligence;Science
2,The Science of Well-Being,Yale University,COURSE,4.9,Mixed,2.5m,Yale University;Academic;Top University;Science
118,The Singer Songwriter,Berklee College of Music,SPECIALIZATION,4.8,Beginner,320k,Academic
677,The Social Context of Mental Health and Illness,University of Toronto,COURSE,4.6,Mixed,19k,Academic;Health
138,The Strategy of Content Marketing,"University of California, Davis",COURSE,4.5,Intermediate,100k,Academic;Marketing;Strategy
361,"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,COURSE,4.8,Beginner,26k,Academic;Artificial Intelligence
459,The Teacher and Social and Emotional Learning (SEL),University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,5.2k,Academic
666,The Technology of Music Production,Berklee College of Music,COURSE,4.8,Beginner,28k,Academic;Music
616,The Truth About Cats and Dogs,The University of Edinburgh,COURSE,4.7,Mixed,33k,Academic
716,The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,COURSE,4.7,Beginner,14k,Online Learning
584,Think Again I: How to Understand Arguments,Duke University,COURSE,4.6,Beginner,200k,Academic;Artificial Intelligence
146,Tools for Data Science,IBM,COURSE,4.6,Beginner,120k,IBM;Industry Leader;Data Science;Science
220,Trading Strategies in Emerging Markets,Indian School of Business,SPECIALIZATION,4.3,Beginner,68k,Online Learning
529,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),COURSE,4.8,Mixed,45k,Academic
530,Tricky American English Pronunciation,"University of California, Irvine",COURSE,4.7,Beginner,110k,Academic;English
438,Troubles du spectre de l'autisme : diagnostic,University of Geneva,COURSE,4.9,Intermediate,5.4k,Academic
245,U.S. Federal Taxation,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k,Academic
153,UCI Project Management,"University of California, Irvine",PROFESSIONAL CERTIFICATE,4.6,Beginner,44k,Academic;Management;Project Management
46,UI / UX Design,California Institute of the Arts,SPECIALIZATION,4.7,Beginner,68k,Design
595,UX Design Fundamentals,California Institute of the Arts,COURSE,4.8,Beginner,25k,Design
676,Understanding Cancer Metastasis,Johns Hopkins University,COURSE,4.8,Beginner,29k,Johns Hopkins University;Academic
353,Understanding Clinical Research: Behind the Statistics,University of Cape Town,COURSE,4.8,Mixed,78k,Academic;Statistics
500,Understanding Einstein: The Special Theory of Relativity,Stanford University,COURSE,4.9,Beginner,89k,Stanford University;Academic;Top University
173,Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,COURSE,4.8,Beginner,24k,Yale University;Academic;Top University;Medical
886,Understanding Modern Finance,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate,11k,Finance
746,Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,COURSE,4.8,Beginner,49k,Academic;Art
261,Understanding Research Methods,SOAS University of London,COURSE,4.5,Mixed,120k,Academic
465,Understanding and Visualizing Data with Python,University of Michigan,COURSE,4.7,Beginner,30k,Academic;Python;Data Science
249,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,COURSE,4.9,Beginner,130k,Academic;Artificial Intelligence;Biology
865,Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,Intermediate,6.1k,Online Learning
618,Unity XR: How to Build AR and VR Apps,Unity,SPECIALIZATION,4.2,Beginner,12k,Online Learning
