id,course_title,course_organization,course_certificate_type,course_rating,course_difficulty,course_students_enrolled,course_tag
429,Healing with the Arts,University of Florida,COURSE,4.6,Mixed,39k,Academic;Art
244,Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,8.1k,Johns Hopkins University;Academic;Health
739,Health Information Literacy for Data Analytics,"University of California, Davis",SPECIALIZATION,4.5,Intermediate,5.4k,Academic;Data Science;Data Analytics;Health
373,Healthcare Law,University of Pennsylvania,SPECIALIZATION,4.7,Intermediate,1.7k,Academic;Health
423,Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36k,Academic;Health
596,Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5.5k,Academic;Health
845,"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed,46k,Academic;Leadership
700,Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5.5k,Academic;Security;Cybersecurity
177,"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28k,Management
554,How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170k,Academic;Physics;Introductory
767,How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Mixed,140k,Academic;Web Development
609,How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34k,Academic;Business;Art
52,Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,98k,Academic;Management
34,IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140k,IBM;Industry Leader;Artificial Intelligence;Engineering
571,IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3.5k,IBM;Industry Leader;Artificial Intelligence
12,IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,220k,IBM;Industry Leader;Artificial Intelligence
408,IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3.3k,IBM;Industry Leader;Advanced Content;Certification Program
0,IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480k,IBM;Industry Leader;Data Science;Science
98,IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,35k,IBM;Industry Leader;Security;Cybersecurity
476,IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,62k,Google;Industry Leader;Artificial Intelligence;Art;Security
856,"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner,1.7k,Online Learning
562,Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23k,Marketing
640,Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.6,Beginner,2.2k,Data Analytics
36,Improve Your English Communication Skills,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,610k,English;Communication
123,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner,270k,deeplearning.ai;Networking
748,Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18k,Academic;Leadership
318,In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner,79k,Artificial Intelligence
110,Indigenous Canada,University of Alberta,COURSE,4.8,Mixed,51k,Academic
572,Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner,34k,Google;Industry Leader;Cloud Computing;Google Cloud;IoT
401,Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5,Intermediate,1.6k,Academic
805,Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12k,Academic;Marketing;Strategy
224,"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,22k,Academic;Management
549,Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner,32k,Academic;Security;Introductory
537,Information Visualization,New York University,SPECIALIZATION,4.6,Beginner,10k,Academic;Data Visualization
485,Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner,16k,Academic
169,Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Mixed,180k,Academic
365,Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,40k,Academic;Management
747,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner,10k,Academic;Design
673,Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25k,Academic;Entrepreneurship
219,Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner,72k,Leadership
184,Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,97k,Academic;Leadership
443,Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Mixed,85k,Academic
345,Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12k,Academic;Design
837,Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9.7k,Academic;Health
171,Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner,14k,Academic;Health;Medicine
120,Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8.7k,Academic
128,Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150k,Academic;Design
762,Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6.5k,Management
451,International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22k,Academic;Business
701,International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25k,Academic;Cybersecurity
404,International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22k,Online Learning
579,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed,36k,Online Learning
280,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,19k,Online Learning
228,International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,41k,Leadership
615,International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26k,Academic;Marketing
